Atomowy Atomowego Atomowym
Biologiczny Biologicznego Biologicznym
Budowlany Budowlanego Budowlanym
Chemiczny Chemicznego Chemicznym
Elektroniczny Elektronicznego Elektronicznym
Elektryczny Elektrycznego Elektrycznym
Fizyczny Fizycznego Fizycznym
Geograficzny Geograficznego Geograficznym
Graficzny Graficznego Graficznym
Informacyjny Informacyjnego Informacyjnym
Informatyczny Informatycznego Informatycznym
Komputerowy Komputerowego Komputerowym
Kosmiczny Kosmicznego Kosmicznym
Logiczny Logicznego Logicznym
Matematyczny Matematycznego Matematycznym
Oceaniczny Oceanicznego Oceanicznym
Powietrzny Powietrznego Powietrznym
Radiowy Radiowego Radiowym
Satelitarny Satelitarnego Satelitarnym
Sieciowy Sieciowego Sieciowym
Techniczny Technicznego Technicznym
Telekomunikacyjny Telekomunikacyjnego Telekomunikacyjnym
Wodny Wodnego Wodnym
Zrównoważony Zrównoważonego Zrównoważonym
